model,condition,framing,tier,memory_consistent,mean_prompt_tokens,n
llama-3.1-8b-instant,full_memory,authoritative,ambiguous,0.6666666666666666,435.0,3
llama-3.1-8b-instant,full_memory,authoritative,compose_fictional,0.0,451.0,3
llama-3.1-8b-instant,full_memory,authoritative,compose_override,0.6666666666666666,440.3333333333333,9
llama-3.1-8b-instant,full_memory,authoritative,direct,1.0,438.3333333333333,9
llama-3.1-8b-instant,full_memory,authoritative,paraphrase,0.5,450.5,6
llama-3.1-8b-instant,full_memory,authoritative,partially_specified,1.0,440.0,3
llama-3.1-8b-instant,full_memory,authoritative,staleness,0.5,437.0,24
llama-3.1-8b-instant,full_memory,authoritative,unanswerable,1.0,443.0,3
llama-3.1-8b-instant,full_memory,neutral,ambiguous,1.0,423.0,3
llama-3.1-8b-instant,full_memory,neutral,compose_fictional,0.0,439.0,3
llama-3.1-8b-instant,full_memory,neutral,compose_override,1.0,428.3333333333333,9
llama-3.1-8b-instant,full_memory,neutral,direct,1.0,426.3333333333333,9
llama-3.1-8b-instant,full_memory,neutral,paraphrase,0.8333333333333334,438.5,6
llama-3.1-8b-instant,full_memory,neutral,partially_specified,1.0,428.0,3
llama-3.1-8b-instant,full_memory,neutral,staleness,0.5416666666666666,425.0,24
llama-3.1-8b-instant,full_memory,neutral,unanswerable,1.0,431.0,3
llama-3.1-8b-instant,full_plus_confusable,authoritative,ambiguous,0.6666666666666666,525.0,3
llama-3.1-8b-instant,full_plus_confusable,authoritative,compose_fictional,0.0,541.0,3
llama-3.1-8b-instant,full_plus_confusable,authoritative,compose_override,0.4444444444444444,530.3333333333334,9
llama-3.1-8b-instant,full_plus_confusable,authoritative,direct,0.6666666666666666,528.3333333333334,9
llama-3.1-8b-instant,full_plus_confusable,authoritative,paraphrase,0.5,540.5,6
llama-3.1-8b-instant,full_plus_confusable,authoritative,partially_specified,0.6666666666666666,530.0,3
llama-3.1-8b-instant,full_plus_confusable,authoritative,staleness,0.3333333333333333,527.0,24
llama-3.1-8b-instant,full_plus_confusable,authoritative,unanswerable,1.0,533.0,3
llama-3.1-8b-instant,full_plus_confusable,neutral,ambiguous,0.6666666666666666,513.0,3
llama-3.1-8b-instant,full_plus_confusable,neutral,compose_fictional,0.0,529.0,3
llama-3.1-8b-instant,full_plus_confusable,neutral,compose_override,0.4444444444444444,518.3333333333334,9
llama-3.1-8b-instant,full_plus_confusable,neutral,direct,1.0,516.3333333333334,9
llama-3.1-8b-instant,full_plus_confusable,neutral,paraphrase,0.5,528.5,6
llama-3.1-8b-instant,full_plus_confusable,neutral,partially_specified,1.0,518.0,3
llama-3.1-8b-instant,full_plus_confusable,neutral,staleness,0.4166666666666667,515.0,24
llama-3.1-8b-instant,full_plus_confusable,neutral,unanswerable,1.0,521.0,3
llama-3.1-8b-instant,full_plus_random,authoritative,ambiguous,0.0,506.0,3
llama-3.1-8b-instant,full_plus_random,authoritative,compose_fictional,0.0,522.0,3
llama-3.1-8b-instant,full_plus_random,authoritative,compose_override,0.7777777777777778,511.3333333333333,9
llama-3.1-8b-instant,full_plus_random,authoritative,direct,0.6666666666666666,509.3333333333333,9
llama-3.1-8b-instant,full_plus_random,authoritative,paraphrase,0.8333333333333334,521.5,6
llama-3.1-8b-instant,full_plus_random,authoritative,partially_specified,1.0,511.0,3
llama-3.1-8b-instant,full_plus_random,authoritative,staleness,0.16666666666666666,508.0,24
llama-3.1-8b-instant,full_plus_random,authoritative,unanswerable,1.0,514.0,3
llama-3.1-8b-instant,full_plus_random,neutral,ambiguous,0.3333333333333333,494.0,3
llama-3.1-8b-instant,full_plus_random,neutral,compose_fictional,0.0,510.0,3
llama-3.1-8b-instant,full_plus_random,neutral,compose_override,0.7777777777777778,499.3333333333333,9
